xvals,yvals,upper,lower,factor,group,period,first_year,last_year
6.8,3.16043159391181,4.92128917720775,1.39957401061588,eci,OPEC,1991 - 2016,1991,2016
6.9,3.12131950909938,4.87458611828595,1.36805289991281,eci,OPEC,1991 - 2016,1991,2016
7,3.08220742428548,4.82845191041487,1.33596293815609,eci,OPEC,1991 - 2016,1991,2016
7.1,3.04309533947182,4.7828529838435,1.30333769510014,eci,OPEC,1991 - 2016,1991,2016
7.2,3.00398325465924,4.7378060794902,1.27016042982827,eci,OPEC,1991 - 2016,1991,2016
7.3,2.96487116984524,4.6933071579368,1.23643518175367,eci,OPEC,1991 - 2016,1991,2016
7.4,2.92575908503256,4.64937469207311,1.20214347799201,eci,OPEC,1991 - 2016,1991,2016
7.5,2.8866470002191,4.6060168041869,1.1672771962513,eci,OPEC,1991 - 2016,1991,2016
7.6,2.84753491540481,4.5632308307351,1.13183900007451,eci,OPEC,1991 - 2016,1991,2016
7.7,2.80842283059222,4.52100961390803,1.09583604727642,eci,OPEC,1991 - 2016,1991,2016
7.8,2.76931074577871,4.47937651518081,1.05924497637662,eci,OPEC,1991 - 2016,1991,2016
7.9,2.73019866096579,4.43832111316016,1.02207620877142,eci,OPEC,1991 - 2016,1991,2016
8,2.69108657615243,4.3978457159835,0.984327436321355,eci,OPEC,1991 - 2016,1991,2016
8.1,2.65197449133906,4.3579576526121,0.945991330066026,eci,OPEC,1991 - 2016,1991,2016
8.2,2.61286240652463,4.31864881971144,0.907075993337814,eci,OPEC,1991 - 2016,1991,2016
8.3,2.57375032171278,4.27993113247822,0.867569510947337,eci,OPEC,1991 - 2016,1991,2016
8.4,2.53463823689946,4.2417934547034,0.827483019095529,eci,OPEC,1991 - 2016,1991,2016
